name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pasteurella	745	genus	0	1	0	0.0
Pasteurella multocida	747	species	361643781	77	16	0.0
Gallibacterium anatis	750	species	15501606	19	5	0.0
Pasteurella canis	753	species	11275507	15	0	0.0
Pasteurella dagmatis	754	species	2287213	3	3	0.0
Avibacterium volantium	762	species	2230476	5	3	0.0
Rickettsiales	766	order	0	2	0	0.0
Bartonella	773	genus	0	1	1	0.0
Bartonella bacilliformis	774	species	2855065	4	0	0.0
Coxiella burnetii	777	species	22354466	3	2	0.0
Ehrlichia ruminantium	779	species	10543737	37	13	0.0
Rickettsia	780	genus	0	14	10	0.0
Rickettsia conorii	781	species	0	2	0	0.0
Rickettsia prowazekii	782	species	1111769	14	7	0.0
Rickettsia rickettsii	783	species	20458666	1	1	0.0
Orientia tsutsugamushi	784	species	26264266	55	14	0.0
Rickettsia typhi	785	species	1111939	10	0	0.0
Bartonella quintana	803	species	3161657	7	2	0.0
Bartonella elizabethae	807	species	2018538	2	0	0.0
Chlamydia trachomatis	813	species	51237674	9	1	0.0
Bacteroidaceae	815	family	0	1	0	0.0
Bacteroides	816	genus	0	6	1	0.0
Bacteroides fragilis	817	species	154093308	118	33	0.0
Bacteroides thetaiotaomicron	818	species	115665650	73	15	0.0
Bacteroides uniformis	820	species	34960729	44	12	0.0
Phocaeicola vulgatus	821	species	51490771	59	16	0.0
Parabacteroides distasonis	823	species	124756214	71	9	0.0
Campylobacter gracilis	824	species	4563382	8	3	0.0
Campylobacter ureolyticus	827	species	1820334	20	7	0.0
Butyrivibrio fibrisolvens	831	species	9387417	43	12	0.0
Porphyromonas	836	genus	0	1	0	0.0
Porphyromonas gingivalis	837	species	65114455	20	3	0.0
Prevotella	838	genus	0	2	0	0.0
Xylanibacter ruminicola	839	species	3439340	3	1	0.0
Wolinella succinogenes	844	species	2150449	2	0	0.0
Oxalobacter formigenes	847	species	12309810	12	0	0.0
Fusobacterium	848	genus	0	16	4	0.0
Fusobacterium nucleatum	851	species	98152111	395	62	0.0
Faecalibacterium prausnitzii	853	species	49622956	22	6	0.0
Fusobacterium varium	856	species	10724980	138	30	0.0
Fusobacterium necrophorum	859	species	2172570	12	9	0.0
Fusobacterium periodonticum	860	species	2541084	33	7	0.0
Fusobacterium ulcerans	861	species	10869605	92	16	0.0
Pectinatus frisingensis	865	species	2881049	12	6	0.0
Desulfovibrio desulfuricans	876	species	10207353	8	3	0.0
Nitratidesulfovibrio vulgaris	881	species	3896149	1	0	0.0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1	0	0.0
Desulfovibrio piger	901	species	5889339	13	11	0.0
Acidaminococcus fermentans	905	species	0	11	0	0.0
